FileName,Extension,Technology,Status,isBinary,Bytes,ContentType,ContentLines,CommentLines,BlankLines
\connecting_rds_to_s3.sql,sql,SQL,OK,a,266,Code,8,0,5
\create_final_schema.sql,sql,SQL,OK,a,81,Code,1,1,0
\Create_Football_db.sql,sql,SQL,OK,a,30,Code,1,0,0
\create_intermediate_schema.sql,sql,SQL,OK,a,145,Code,1,2,1
\create_raw_schema.sql,sql,SQL,OK,a,25,Code,1,0,0
\demo.sql,sql,SQL,OK,a,468,Code,14,0,3
\final_schema_player_market_value_growth_rate.sql,sql,SQL,OK,a,989,Code,19,0,3
\final_schema_vw_highest_transfer_per_season.sql,sql,SQL,OK,a,511,Code,13,0,0
\final_schema_vw_injury_burden_per_team_per_season.sql,sql,SQL,OK,a,1490,Code,14,15,3
\final_schema_vw_injury_type_trends.sql,sql,SQL,OK,a,318,Code,9,0,4
\final_schema_vw_top_assists_per_season.sql,sql,SQL,OK,a,697,Code,21,1,3
\final_schema_vw_top_goalers_per_season_per_competition.sql,sql,SQL,OK,a,728,Code,21,1,2
\int_player_market_value.sql,sql,SQL,OK,a,689,Code,19,4,7
\int_schema_children_team.sql,sql,SQL,OK,a,744,Code,29,0,7
\int_schema_int_player_injuries.sql,sql,SQL,OK,a,1951,Code,49,7,15
\int_schema_int_player_teammates_played_with.sql,sql,SQL,OK,a,1910,Code,39,7,10
\int_schema_int_transfer_history.sql,sql,SQL,OK,a,1061,Code,47,0,9
\int_schema_player_national_performance.sql,sql,SQL,OK,a,3361,Code,41,40,25
\int_schema_player_performances.sql,sql,SQL,OK,a,2053,Code,57,27,13
\int_schema_player_profile.sql,sql,SQL,OK,a,3501,Code,51,40,15
\int_schema_team_competition_seasons.sql,sql,SQL,OK,a,1282,Code,37,3,10
\raw_schema_children_team.sql,sql,SQL,OK,a,620,Code,15,4,3
\raw_schema_player_injuries.sql,sql,SQL,OK,a,533,Code,18,0,2
\raw_schema_player_market_value.sql,sql,SQL,OK,a,516,Code,14,1,4
\raw_schema_player_national_performance.sql,sql,SQL,OK,a,610,Code,18,0,3
\raw_schema_player_performance.sql,sql,SQL,OK,a,848,Code,31,0,6
\raw_schema_player_profile.sql,sql,SQL,OK,a,1123,Code,44,0,3
\raw_schema_player_teammates_played_with.sql,sql,SQL,OK,a,944,Code,18,2,8
\raw_schema_team_competitions_seasons.sql,sql,SQL,OK,a,593,Code,18,0,5
\raw_schema_team_details.sql,sql,SQL,OK,a,641,Code,23,0,2
\raw_schema_transfer_history.sql,sql,SQL,OK,a,622,Code,21,0,3
\storage,,Other,FAILED,B,57344,Other,0,0,0
