PartitionKey,FileName,Caller_CodeUnit,Caller_CodeUnit_Database,Caller_CodeUnit_Schema,Caller_CodeUnit_Name,Caller_CodeUnit_FullName,Referenced_Element_Type,Referenced_Element_Database,Referenced_Element_Schema,Referenced_Element_Name,Referenced_Element_FullName,Line,Relation_Type
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,demo.sql,DROP TABLE,N/A,N/A,N/A,N/A,CREATE TABLE,N/A,raw_schema,player_market_values,raw_schema.player_market_values,16,DROP
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,final_schema_player_market_value_growth_rate.sql,CREATE VIEW,N/A,final_schema,vw_player_market_value_growth_rate,final_schema.vw_player_market_value_growth_rate,CREATE TABLE,N/A,intermediate_schema,int_player_market_value,intermediate_schema.int_player_market_value,17,SELECT - JOIN
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,final_schema_player_market_value_growth_rate.sql,CREATE VIEW,N/A,final_schema,vw_player_market_value_growth_rate,final_schema.vw_player_market_value_growth_rate,CREATE TABLE,N/A,intermediate_schema,int_player_profile,intermediate_schema.int_player_profile,18,SELECT - JOIN
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,final_schema_vw_highest_transfer_per_season.sql,CREATE VIEW,N/A,final_schema,vw_highest_transfer_per_season,final_schema.vw_highest_transfer_per_season,CREATE TABLE,N/A,intermediate_schema,int_transfer_history,intermediate_schema.int_transfer_history,9,SELECT - JOIN
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,final_schema_vw_highest_transfer_per_season.sql,CREATE VIEW,N/A,final_schema,vw_highest_transfer_per_season,final_schema.vw_highest_transfer_per_season,CREATE TABLE,N/A,intermediate_schema,int_player_profile,intermediate_schema.int_player_profile,10,SELECT - JOIN
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,final_schema_vw_injury_burden_per_team_per_season.sql,SELECT,N/A,N/A,N/A,N/A,CREATE TABLE,N/A,intermediate_schema,int_player_injuries,intermediate_schema.int_player_injuries,17,SELECT - FROM
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,final_schema_vw_injury_burden_per_team_per_season.sql,CREATE VIEW,N/A,final_schema,vw_injury_burden_per_team_per_season,final_schema.vw_injury_burden_per_team_per_season,CREATE TABLE,N/A,intermediate_schema,int_player_injuries,intermediate_schema.int_player_injuries,27,SELECT - JOIN
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,final_schema_vw_injury_burden_per_team_per_season.sql,CREATE VIEW,N/A,final_schema,vw_injury_burden_per_team_per_season,final_schema.vw_injury_burden_per_team_per_season,CREATE TABLE,N/A,intermediate_schema,int_player_profile,intermediate_schema.int_player_profile,28,SELECT - JOIN
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,final_schema_vw_injury_burden_per_team_per_season.sql,CREATE VIEW,N/A,final_schema,vw_injury_burden_per_team_per_season,final_schema.vw_injury_burden_per_team_per_season,CREATE TABLE,N/A,intermediate_schema,int_team_competitions_seasons,intermediate_schema.int_team_competitions_seasons,29,SELECT - JOIN
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,final_schema_vw_injury_burden_per_team_per_season.sql,SELECT,N/A,N/A,N/A,N/A,CREATE VIEW,N/A,final_schema,vw_injury_burden_per_team_per_season,final_schema.vw_injury_burden_per_team_per_season,32,SELECT - FROM
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,final_schema_vw_injury_type_trends.sql,CREATE VIEW,N/A,final_schema,vw_injury_type_trends,final_schema.vw_injury_type_trends,CREATE TABLE,N/A,intermediate_schema,int_player_injuries,intermediate_schema.int_player_injuries,7,SELECT - FROM
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,final_schema_vw_top_assists_per_season.sql,SELECT,N/A,N/A,N/A,N/A,CREATE TABLE,N/A,intermediate_schema,int_player_performance_overall,intermediate_schema.int_player_performance_overall,3,SELECT - FROM
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,final_schema_vw_top_assists_per_season.sql,CREATE VIEW,N/A,final_schema,vw_top_assists_per_season,final_schema.vw_top_assists_per_season,CREATE TABLE,N/A,intermediate_schema,int_player_performance_overall,intermediate_schema.int_player_performance_overall,19,SELECT - JOIN
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,final_schema_vw_top_assists_per_season.sql,CREATE VIEW,N/A,final_schema,vw_top_assists_per_season,final_schema.vw_top_assists_per_season,CREATE TABLE,N/A,intermediate_schema,int_player_profile,intermediate_schema.int_player_profile,20,SELECT - JOIN
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,final_schema_vw_top_goalers_per_season_per_competition.sql,CREATE VIEW,N/A,final_schema,vw_top_scorers_per_season,final_schema.vw_top_scorers_per_season,CREATE TABLE,N/A,intermediate_schema,int_player_profile,intermediate_schema.int_player_profile,18,SELECT - JOIN
