Function,Count,Category,MigrationStatus
intermediate_Schema.int_player_performance_overall_proc,1,Not_Categorized,Transformation
aws_s3.table_import_from_s3,11,Not_Categorized,Pending
SUM,7,Built_In,Transformation
COUNT,4,Built_In,Transformation
intermediate_schema.int_player_market_value_proc,1,Not_Categorized,Transformation
anon.init,1,Not_Categorized,Pending
aws_commons.create_aws_credentials,1,Not_Categorized,Pending
LAG,5,Built_In,Transformation
EXTRACT,10,Built_In,Transformation
ROUND,1,Built_In,Transformation
RANK,1,Built_In,Transformation
MAX,8,Built_In,Transformation
intermediate_Schema.int_children_team_proc,1,Not_Categorized,Transformation
intermediate_Schema.int_player_injuries_proc,1,Not_Categorized,Transformation
intermediate_schema.int_player_national_performance_proc,1,Not_Categorized,Transformation
REPLACE,1,Built_In,Transformation
ROW_NUMBER,2,Built_In,Transformation
intermediate_schema.int_player_teammates_played_with_proc,1,Not_Categorized,Transformation
COALESCE,4,Built_In,Transformation
intermediate_schema.int_transfer_history_proc,1,Not_Categorized,Transformation
rank,1,Not_Categorized,Transformation
intermediate_schema.int_player_profile_proc,1,Not_Categorized,Transformation
TO_DATE,2,Built_In,Transformation
SPLIT_PART,3,Built_In,Transformation
intermediate_schema.int_team_competitions_seasons_proc,1,Not_Categorized,Transformation
