PartitionKey,FileType,Category,CodeUnit,SourceDatabase,SourceSchema,CodeUnitName,CodeUnitId,FileName,LineNumber,LinesOfCode,EWI Count,FDM Count,PRF Count,HighestEWISeverity,UDFsUsed,EWI,FDM,PRF,ConversionStatus,LoCConversionPercentage,Deployment Order,SourceLanguage
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,SQL,VIEW,CREATE VIEW,N/A,final_schema,vw_top_assists_per_season,final_schema.vw_top_assists_per_season,final_schema_vw_top_assists_per_season.sql,6,19,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%,1,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,SQL,DQL,SELECT,N/A,N/A,N/A,N/A,final_schema_vw_top_assists_per_season.sql,1,3,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%,1,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,SQL,DQL,SELECT,N/A,N/A,N/A,N/A,final_schema_vw_injury_burden_per_team_per_season.sql,32,1,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%,2,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,SQL,VIEW,CREATE VIEW,N/A,final_schema,vw_injury_burden_per_team_per_season,final_schema.vw_injury_burden_per_team_per_season,final_schema_vw_injury_burden_per_team_per_season.sql,19,12,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%,1,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,SQL,DQL,SELECT,N/A,N/A,N/A,N/A,final_schema_vw_injury_burden_per_team_per_season.sql,1,16,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%,1,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,SQL,VIEW,CREATE VIEW,N/A,final_schema,vw_highest_transfer_per_season,final_schema.vw_highest_transfer_per_season,final_schema_vw_highest_transfer_per_season.sql,1,13,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%,1,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,SQL,DML,CALL,N/A,N/A,N/A,N/A,int_schema_player_profile.sql,74,1,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%,2,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,SQL,PROCEDURE,CREATE PROCEDURE,N/A,intermediate_schema,int_player_profile_proc,intermediate_schema.int_player_profile_proc,int_schema_player_profile.sql,38,32,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%,1,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,SQL,TABLE,CREATE TABLE,N/A,intermediate_schema,int_player_profile,intermediate_schema.int_player_profile,int_schema_player_profile.sql,1,31,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%,0,PostgreSQL
8e972a6d-f16b-43d1-88fb-f358c8b5ebb8,SQL,VIEW,CREATE VIEW,N/A,final_schema,vw_player_market_value_growth_rate,final_schema.vw_player_market_value_growth_rate,final_schema_player_market_value_growth_rate.sql,1,19,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%,1,PostgreSQL
